"order_id","customer_unique_id","customer_city","customer_state","seller_id","seller_city","seller_state","product_category_name","price","freight_value","payment_type","payment_installments","payment_value","review_score","order_purchase_timestamp","order_delivered_customer_date"
"e481f51cbdc54678b7cc49136f2d6af7","7c396fd4830fd04220f754e42b4e5bff","sao paulo","SP","3504c0cb71d7fa48d967e0e4c94d59d9","maua","SP","utilidades_domesticas","29.99","8.72","credit_card",1,"18.12",4,"2017-10-02 10:56:33","2017-10-10 21:25:13"
"e481f51cbdc54678b7cc49136f2d6af7","7c396fd4830fd04220f754e42b4e5bff","sao paulo","SP","3504c0cb71d7fa48d967e0e4c94d59d9","maua","SP","utilidades_domesticas","29.99","8.72","voucher",1,"18.59",4,"2017-10-02 10:56:33","2017-10-10 21:25:13"
"e481f51cbdc54678b7cc49136f2d6af7","7c396fd4830fd04220f754e42b4e5bff","sao paulo","SP","3504c0cb71d7fa48d967e0e4c94d59d9","maua","SP","utilidades_domesticas","29.99","8.72","voucher",1,"2.00",4,"2017-10-02 10:56:33","2017-10-10 21:25:13"
"53cdb2fc8bc7dce0b6741e2150273451","af07308b275d755c9edb36a90c618231","barreiras","BA","289cdb325fb7e7f891c38608bf9e0962","belo horizonte","SP","perfumaria","118.70","22.76","boleto",1,"141.46",4,"2018-07-24 20:41:37","2018-08-07 15:27:45"
"47770eb9100c2d0c44946d9cf07ec65d","3a653a41f6f9fc3d2a113cf8398680e8","vianopolis","GO","4869f7a5dfa277a7dca6462dcf3b52b2","guariba","SP","automotivo","159.90","19.22","credit_card",3,"179.12",5,"2018-08-08 08:38:49","2018-08-17 18:06:29"
"949d5b44dbf5de918fe9c16f97b45f8a","7c142cf63193a1473d2e66489a9ae977","sao goncalo do amarante","RN","66922902710d126a0e7d26b0e3805106","belo horizonte","MG","pet_shop","45.00","27.20","credit_card",1,"72.20",5,"2017-11-18 19:28:06","2017-12-02 00:28:42"
"ad21c59c0840e6cb83a9ceb5573f8159","72632f0f9dd73dfee390c9b22eb56dd6","santo andre","SP","2c9e548be18521d1c43cde1c582c6de8","mogi das cruzes","SP","papelaria","19.90","8.72","credit_card",1,"28.62",5,"2018-02-13 21:18:39","2018-02-16 18:17:02"
"a4591c265e18cb1dcee52889e2d8acc3","80bb27c7c16e8f973207a5086ab329e2","congonhinhas","PR","8581055ce74af1daba164fdbd55a40de","guarulhos","SP","automotivo","147.90","27.36","credit_card",6,"175.26",4,"2017-07-09 21:57:05","2017-07-26 10:57:55"
"136cce7faa42fdb2cefd53fdc79a6098","36edbb3fb164b1f16485364b6fb04c73","santa rosa","RS","dc8798cbf453b7e0f98745e396cc5616","sao paulo","SP",NULL,"49.90","16.05","credit_card",1,"65.95",2,"2017-04-11 12:22:08",NULL
"6514b8ad8028c9f2cc2374ded245783f","932afa1e708222e5821dac9cd5db4cae","nilopolis","RJ","16090f2ca825584b5a147ab24aa30c86","atibaia","SP","automotivo","59.99","15.17","credit_card",3,"75.16",5,"2017-05-16 13:10:30","2017-05-26 12:55:51"
